rattling1 starts here
265   433         1.81388546     -0.11747116      0.55152839   no change   no change
266   433         1.76484617     -0.09835876      0.47176455   no change   no change
267   433         1.73169367     -0.10475456      0.37929899   no change   no change
268   433         1.70393310     -0.13876663      0.32098171   no change   no change
269   433         1.68278286     -0.18726927      0.27159348   no change   no change
270   433         1.66610231     -0.23258604      0.18045171   no change   no change
271   433         1.63515772     -0.26240820      0.07100722   no change   no change
272   433         1.55690170     -0.26081450      0.00776249   no change   no change
273   433         1.48268236     -0.23969605      0.00625717   no change   no change
274   433         1.46053796     -0.20721788      0.04408045   no change   no change
275   433         1.48457040     -0.18304690      0.09010944   no change   no change
276   433         1.51078571     -0.16812744      0.09521412   no change   no change
277   433         1.53535329     -0.16898822      0.06130519   no change   no change
278   433         1.57542258     -0.16688989      0.02761347   no change   no change
279   433         1.62861488     -0.16215229      0.00367358   no change   no change
280   433         1.64344228     -0.15163383     -0.01558994   no change   no change
281   433         1.58188520     -0.12851811     -0.05689169   no change   no change
282   433         1.46895435     -0.11706087     -0.12824304   no change   no change
283   433         1.36846918     -0.10912091     -0.20844159   no change   no change
rattling1 ends here
rattling1 starts here
480   406        -1.28717370     -4.88728264     -0.64980232   no change   no change
481   406        -1.36171798     -4.87240789     -0.61842041   no change   no change
482   406        -1.41505179     -4.86380517     -0.58651920   no change   no change
483   406        -1.40752515     -4.87609229     -0.55629171   no change   no change
484   406        -1.33286419     -4.89266472     -0.53436760   no change   no change
485   406        -1.23270203     -4.89739198     -0.54416943   no change   no change
486   406        -1.16452264     -4.87160697     -0.59459558   no change   no change
487   406        -1.13984859     -4.83923174     -0.67240066   no change   no change
488   406        -1.15005275     -4.80738132     -0.73805599   no change   no change
489   406        -1.17946303     -4.76272692     -0.77821241   no change   no change
490   406        -1.20546781     -4.69481352     -0.82166069   no change   no change
491   406        -1.21564360     -4.61530053     -0.87184983   no change   no change
492   406        -1.22635694     -4.55048633     -0.92307997   no change   no change
493   406        -1.25812130     -4.51801984     -0.95289432   no change   no change
494   406        -1.30516295     -4.50951144     -0.94781490   no change   no change
495   406        -1.32722477     -4.49068954     -0.93204318   no change   no change
496   406        -1.31628727     -4.46409294     -0.91759153   no change   no change
497   406        -1.30482096     -4.45412758     -0.89681285   no change   no change
498   406        -1.28219116     -4.46803065     -0.86098900   no change   no change
rattling1 ends here
rattling1 starts here
483   406        -1.40752515     -4.87609229     -0.55629171   no change   no change
484   406        -1.33286419     -4.89266472     -0.53436760   no change   no change
485   406        -1.23270203     -4.89739198     -0.54416943   no change   no change
486   406        -1.16452264     -4.87160697     -0.59459558   no change   no change
487   406        -1.13984859     -4.83923174     -0.67240066   no change   no change
488   406        -1.15005275     -4.80738132     -0.73805599   no change   no change
489   406        -1.17946303     -4.76272692     -0.77821241   no change   no change
490   406        -1.20546781     -4.69481352     -0.82166069   no change   no change
491   406        -1.21564360     -4.61530053     -0.87184983   no change   no change
492   406        -1.22635694     -4.55048633     -0.92307997   no change   no change
493   406        -1.25812130     -4.51801984     -0.95289432   no change   no change
494   406        -1.30516295     -4.50951144     -0.94781490   no change   no change
495   406        -1.32722477     -4.49068954     -0.93204318   no change   no change
496   406        -1.31628727     -4.46409294     -0.91759153   no change   no change
497   406        -1.30482096     -4.45412758     -0.89681285   no change   no change
498   406        -1.28219116     -4.46803065     -0.86098900   no change   no change
499   406        -1.26098621     -4.49135609     -0.84365283   no change   no change
500   406        -1.27032388     -4.52596590     -0.82671598   no change   no change
501   406        -1.30335384     -4.55951319     -0.80087788   no change   no change
rattling1 ends here
rattling1 starts here
491   406        -1.21564360     -4.61530053     -0.87184983   no change   no change
492   406        -1.22635694     -4.55048633     -0.92307997   no change   no change
493   406        -1.25812130     -4.51801984     -0.95289432   no change   no change
494   406        -1.30516295     -4.50951144     -0.94781490   no change   no change
495   406        -1.32722477     -4.49068954     -0.93204318   no change   no change
496   406        -1.31628727     -4.46409294     -0.91759153   no change   no change
497   406        -1.30482096     -4.45412758     -0.89681285   no change   no change
498   406        -1.28219116     -4.46803065     -0.86098900   no change   no change
499   406        -1.26098621     -4.49135609     -0.84365283   no change   no change
500   406        -1.27032388     -4.52596590     -0.82671598   no change   no change
501   406        -1.30335384     -4.55951319     -0.80087788   no change   no change
502   406        -1.34790379     -4.60340029     -0.78260449   no change   no change
503   406        -1.39790389     -4.64900274     -0.76492310   no change   no change
504   406        -1.44493437     -4.69926075     -0.73559806   no change   no change
505   406        -1.51369838     -4.75241114     -0.67784314   no change   no change
506   406        -1.59519350     -4.80006407     -0.61411431   no change   no change
507   406        -1.66333191     -4.83806482     -0.58932447   no change   no change
508   406        -1.72980292     -4.86029073     -0.57891067   no change   no change
509   406        -1.76877755     -4.86845102     -0.58388668   no change   no change
rattling1 ends here
